Reaction_Type,Metal,Support,Promoter,Preparation_Method,Metal_Loading_wt%,Temperature_C,Pressure_bar,GHSV_h-1,H2_CO_Ratio,Activity,Selectivity,Stability,TOF_s-1,Activation_Energy_kJ_mol
water-gas-shift,Cu,CeO2,CaO,Impregnation,24.64,312.2,78.6,23295.0,1.98,0.6802,0.8124,0.8455,14.01,179.3
hydrogenation,V,CeO2,BaO,Ion-exchange,5.83,146.8,73.8,3987.0,1.6,0.5879,0.5711,0.4356,0.38,101.5
hydrogenation,Fe,HZSM-5,Rb2O,Co-precipitation,21.36,154.8,7.7,43229.0,1.91,0.5893,0.6106,0.8251,10.47,115.5
dehydrogenation,Ce,HZSM-5,SrO,Co-precipitation,10.77,566.9,52.8,46801.0,1.21,0.5768,0.6285,0.8773,3.75,65.8
water-gas-shift,Pd,MCM-41,Cs2O,Electrodeposition,8.25,701.5,8.2,23456.0,3.99,0.4089,0.4613,0.5488,1.8,41.0
syngas-to-ethanol,Cr,Al2O3,La2O3,Deposition-precipitation,22.08,803.4,37.6,8730.0,3.42,0.4449,0.4852,0.5864,24.81,121.8
hydrogenation,Ni,MCM-41,Rb2O,Ion-exchange,23.33,182.9,87.9,13959.0,3.61,0.5708,0.6672,0.7211,32.31,53.3
biomass-to-hmf,Ce,SiO2,Na2O,Hydrothermal,17.34,782.3,51.0,13305.0,3.68,0.3479,0.2879,0.5529,14.82,125.1
biomass-to-hmf,Cu,HZSM-5,Na2O,Sol-gel,16.11,309.6,74.4,28032.0,2.0,0.5322,0.3477,0.7415,3.34,41.3
co2-reduction,W,HZSM-5,Na2O,Sputtering,14.04,443.8,5.1,18868.0,3.77,0.6494,0.7093,0.6806,11.88,36.0
dry-reforming,Ru,MCM-41,BaO,Co-precipitation,9.17,547.9,87.6,48718.0,3.12,0.6142,0.6549,0.8685,54.78,65.5
co2-reduction,Fe,MOF-5,CaO,Impregnation,4.89,839.6,78.5,21174.0,2.84,0.2749,0.2932,0.6072,0.36,67.2
co2-reduction,In,MgO,None,Electrodeposition,5.95,753.3,46.6,15954.0,3.28,0.8978,0.8435,0.5689,6.15,33.5
syngas-to-ethanol,Mn,TiO2,Cs2O,Co-precipitation,24.19,323.3,64.5,20584.0,3.93,0.6179,0.5779,0.8371,4.19,170.9
methanol-synthesis,Rh,CeO2,SrO,Ion-exchange,1.44,577.3,35.2,39535.0,2.03,0.5851,0.638,0.9161,14.63,47.3
dehydrogenation,Ru,Al2O3,None,Flame-spray,0.54,840.5,54.3,36252.0,3.1,0.3852,0.4925,0.5311,0.4,84.6
methanol-synthesis,Au,ZrO2,Na2O,Co-precipitation,18.13,340.3,31.6,21011.0,1.91,0.586,0.6183,0.8548,0.25,49.1
water-gas-shift,Mn,MCM-41,La2O3,Sputtering,14.44,424.9,83.5,15890.0,1.24,0.577,0.6292,0.5725,16.94,121.0
dry-reforming,Mo,C,Li2O,Hydrothermal,13.02,735.0,96.0,37062.0,2.81,0.4684,0.4628,0.5807,1.73,129.6
dehydrogenation,Au,SAPO-34,BaO,Ion-exchange,6.0,259.3,3.4,12997.0,2.16,0.543,0.5871,0.7976,23.07,40.9
water-gas-shift,Ti,SiO2,CaO,Electrodeposition,10.29,218.1,69.1,44740.0,3.51,0.5161,0.6303,0.99,3.57,146.8
syngas-to-ethanol,Fe,Graphene,Rb2O,Electrodeposition,1.73,299.4,85.0,23367.0,3.3,0.5556,0.6148,0.5516,17.98,178.2
dehydrogenation,Au,Graphene,Li2O,Sputtering,20.47,813.6,43.2,45436.0,2.06,0.3108,0.3037,0.746,0.68,159.2
ammonia-synthesis,Rh,Graphene,BaO,Ion-exchange,19.26,517.0,63.0,14455.0,0.77,0.5576,0.4932,0.9239,14.71,70.8
dry-reforming,W,SAPO-34,La2O3,Sol-gel,6.17,655.2,70.9,4147.0,1.93,0.6184,0.6557,0.4855,4.19,92.4
syngas-to-ethanol,Zn,MgO,SrO,Impregnation,21.49,712.5,38.7,1289.0,1.73,0.4595,0.4616,0.7156,12.31,158.0
water-gas-shift,W,SBA-15,Rb2O,Sputtering,22.5,490.6,28.0,24796.0,1.86,0.6448,0.6428,0.7175,7.39,149.7
co2-reduction,Mo,MOF-5,La2O3,Sputtering,13.59,825.5,59.6,33487.0,0.79,0.3866,0.3457,0.5907,21.51,160.0
co2-reduction,Cu,Al2O3,CaO,Deposition-precipitation,5.69,361.5,76.4,19577.0,3.13,0.99,0.99,0.8146,17.29,67.8
methanol-synthesis,V,HZSM-5,Rb2O,Impregnation,25.0,380.0,65.4,39280.0,2.78,0.6041,0.759,0.7751,4.98,172.4
syngas-to-ethanol,Ni,ZrO2,La2O3,Hydrothermal,3.59,635.6,56.8,11680.0,2.95,0.4886,0.5294,0.6335,2.38,55.2
dehydrogenation,In,Graphene,La2O3,Ion-exchange,3.15,120.5,31.9,34190.0,3.85,0.5266,0.5388,0.7568,43.63,137.3
methanol-synthesis,Ti,SBA-15,BaO,Co-precipitation,17.58,341.3,68.7,40471.0,3.29,0.6156,0.6097,0.7932,7.48,36.2
hydrogenation,Zn,MCM-41,Na2O,Co-precipitation,12.9,373.0,85.1,41294.0,0.87,0.6432,0.7664,0.7257,44.24,125.3
ammonia-synthesis,Pd,MgO,La2O3,ALD,24.15,316.1,81.0,27370.0,2.19,0.5453,0.56,0.9116,1.39,139.7
biomass-to-hmf,Au,CNT,BaO,Co-precipitation,7.33,460.6,75.3,28923.0,2.84,0.6735,0.5947,0.7429,20.11,104.1
dry-reforming,Fe,C,BaO,Deposition-precipitation,20.05,372.3,88.2,35358.0,1.47,0.6536,0.5192,0.8658,5.68,172.2
methanol-synthesis,Ag,SBA-15,CaO,Electrodeposition,14.1,292.3,48.1,35880.0,2.07,0.6209,0.5515,0.7618,24.85,74.1
water-gas-shift,Ag,Al2O3,SrO,Deposition-precipitation,12.09,524.7,43.1,37551.0,1.66,0.8212,0.9244,0.8686,32.61,70.6
biomass-to-hmf,Ag,SAPO-34,BaO,Deposition-precipitation,3.43,528.7,76.5,10072.0,1.26,0.5211,0.549,0.6073,11.25,138.7
hydrogenation,Ce,Al2O3,K2O,Hydrothermal,7.76,388.7,30.9,35693.0,0.94,0.6558,0.5648,0.6858,12.83,38.2
biomass-to-hmf,Pd,MCM-41,Li2O,Co-precipitation,21.88,559.3,47.5,22583.0,1.15,0.5812,0.4385,0.6434,1.97,171.2
ammonia-synthesis,In,CNT,K2O,Flame-spray,12.55,561.6,69.0,8435.0,3.34,0.6553,0.806,0.7154,3.98,42.8
syngas-to-ethanol,In,BEA,CaO,Sputtering,15.11,594.7,77.8,19639.0,3.68,0.4962,0.4747,0.7055,9.65,118.3
water-gas-shift,Pt,ZrO2,SrO,Impregnation,15.44,692.1,94.8,11182.0,1.24,0.5009,0.5795,0.7495,46.63,53.6
co2-reduction,W,SAPO-34,La2O3,Impregnation,10.51,651.5,47.5,2599.0,1.51,0.4685,0.4454,0.5206,6.77,158.9
methanol-synthesis,Ag,MOF-5,Cs2O,Sputtering,16.7,846.9,43.1,27684.0,2.77,0.4411,0.4643,0.7994,2.1,154.0
methanol-synthesis,Cu,CeO2,Cs2O,Sputtering,18.85,555.4,29.6,7093.0,2.91,0.5115,0.516,0.9619,13.8,171.4
hydrogenation,W,C,Li2O,Co-precipitation,15.15,811.5,73.7,30582.0,0.59,0.4143,0.3957,0.7982,9.8,131.1
dehydrogenation,Ti,HZSM-5,Cs2O,Sputtering,1.49,705.0,47.6,32924.0,3.71,0.2988,0.2509,0.752,0.11,117.8
ammonia-synthesis,Co,C,Na2O,Flame-spray,8.67,636.1,85.9,17160.0,2.93,0.5475,0.5032,0.8246,1.41,171.8
hydrogenation,Cu,C,K2O,Deposition-precipitation,6.68,192.7,77.5,43381.0,3.39,0.3955,0.2953,0.6697,5.03,160.4
ammonia-synthesis,Zn,HZSM-5,BaO,ALD,9.36,705.2,62.9,38240.0,1.21,0.3651,0.4322,0.7588,0.42,169.2
ammonia-synthesis,V,SAPO-34,None,Sputtering,20.08,667.8,31.8,1670.0,1.93,0.5865,0.4806,0.7396,15.76,156.2
methanol-synthesis,Mo,SAPO-34,La2O3,Electrodeposition,23.35,333.5,70.8,21359.0,2.19,0.6206,0.6073,0.7073,13.67,98.5
co2-reduction,Mn,SiO2,SrO,ALD,18.78,209.2,7.9,38861.0,3.49,0.5468,0.547,0.8903,8.38,148.2
biomass-to-hmf,Ni,Al2O3,Cs2O,Sputtering,14.71,628.0,86.7,22881.0,2.2,0.5157,0.5173,0.6585,6.29,144.4
water-gas-shift,Mo,MOF-5,Na2O,Hydrothermal,24.53,291.0,38.9,42945.0,1.94,0.5569,0.5016,0.675,25.94,100.9
water-gas-shift,Mn,MCM-41,La2O3,Electrodeposition,24.14,201.0,96.6,17268.0,0.85,0.5104,0.5383,0.6573,15.22,45.0
ammonia-synthesis,Ni,SBA-15,La2O3,Flame-spray,21.84,876.0,8.4,39295.0,1.43,0.444,0.4727,0.6975,3.68,89.6
methanol-synthesis,Au,CNT,Rb2O,Flame-spray,23.88,601.4,88.9,24909.0,2.39,0.5778,0.6202,0.5148,23.75,65.2
biomass-to-hmf,Ag,SBA-15,K2O,Flame-spray,24.47,708.3,70.7,5925.0,1.08,0.3887,0.37,0.7533,4.05,34.3
dry-reforming,Cu,Al2O3,Na2O,Deposition-precipitation,11.05,295.4,41.8,34408.0,1.13,0.5545,0.5626,0.6973,19.47,121.4
water-gas-shift,Ce,MCM-41,BaO,Electrodeposition,22.86,214.5,46.7,13445.0,1.39,0.6183,0.5281,0.7818,7.62,150.7
biomass-to-hmf,W,CeO2,K2O,Electrodeposition,23.66,890.1,30.6,48139.0,2.92,0.3714,0.3557,0.5764,27.83,75.3
water-gas-shift,V,SAPO-34,BaO,Flame-spray,14.51,559.8,99.3,15466.0,3.92,0.5958,0.6479,0.6018,5.17,71.2
dehydrogenation,Cu,MOF-5,SrO,Electrodeposition,20.9,822.3,77.8,12276.0,3.31,0.5155,0.5202,0.4564,17.99,58.5
biomass-to-hmf,Pd,MCM-41,K2O,Impregnation,8.07,452.7,58.4,36886.0,0.82,0.7074,0.6891,0.6985,1.05,142.1
co2-reduction,Ru,CeO2,Rb2O,Deposition-precipitation,13.51,830.8,83.2,13592.0,3.39,0.3862,0.3005,0.8625,21.11,151.0
dry-reforming,In,C,K2O,Sol-gel,18.98,280.5,68.0,34046.0,1.89,0.4905,0.5285,0.7496,11.81,113.6
methanol-synthesis,Mn,HZSM-5,Cs2O,ALD,3.53,394.9,75.2,13846.0,1.83,0.5862,0.5932,0.7245,25.28,85.7
syngas-to-ethanol,V,HZSM-5,SrO,ALD,8.54,588.1,65.1,32135.0,2.12,0.5617,0.6049,0.5262,23.53,127.4
methanol-synthesis,Pd,HZSM-5,None,Ion-exchange,24.9,192.9,24.2,27340.0,1.86,0.4156,0.3729,0.8632,0.91,172.4
hydrogenation,Zn,ZrO2,La2O3,Flame-spray,16.55,767.0,61.9,47014.0,1.48,0.4087,0.491,0.7529,1.2,62.6
ammonia-synthesis,Ag,CNT,Na2O,Co-precipitation,24.53,393.9,90.3,32597.0,0.71,0.6104,0.5573,0.6995,9.65,175.2
ammonia-synthesis,Co,MCM-41,BaO,Sputtering,24.29,140.5,34.0,49452.0,3.25,0.5594,0.4768,0.7623,45.8,154.5
hydrogenation,Ru,ZrO2,BaO,Hydrothermal,8.55,218.0,90.2,1139.0,3.5,0.682,0.5515,0.6487,34.6,49.5
biomass-to-hmf,Fe,SAPO-34,None,Sol-gel,0.86,732.0,24.6,16865.0,1.11,0.3634,0.3151,0.6117,31.65,141.3
hydrogenation,In,SBA-15,K2O,Electrodeposition,11.48,389.6,59.8,23148.0,1.28,0.6236,0.7362,0.7487,18.55,139.1
hydrogenation,Pt,C,None,Impregnation,24.97,777.8,43.2,6290.0,2.99,0.7792,0.7353,0.7047,0.91,164.9
dry-reforming,Ce,CeO2,K2O,Sol-gel,7.24,606.5,55.3,16934.0,3.98,0.601,0.6021,0.7672,14.54,98.1
dehydrogenation,Zn,SAPO-34,K2O,ALD,18.16,272.0,45.7,12196.0,1.69,0.4896,0.4588,0.4451,10.73,92.4
methanol-synthesis,Au,MgO,Na2O,Ion-exchange,9.67,222.1,92.4,4290.0,3.41,0.5585,0.4138,0.7435,23.47,44.5
dry-reforming,Pd,BEA,None,Sputtering,23.94,549.3,67.3,21130.0,3.56,0.4461,0.5248,0.5416,30.1,93.4
ethanol-to-jet,Pt,ZrO2,Cs2O,Deposition-precipitation,3.04,505.9,16.3,24627.0,3.47,0.6499,0.6177,0.7161,27.03,113.4
methanol-synthesis,Rh,ZrO2,BaO,Flame-spray,21.21,879.6,82.0,31065.0,2.75,0.2872,0.3005,0.6363,3.85,169.4
biomass-to-hmf,Ni,CeO2,Cs2O,Ion-exchange,23.08,380.8,19.0,8019.0,2.8,0.6943,0.6003,0.7433,34.72,141.1
ethanol-to-jet,Co,SBA-15,Rb2O,Hydrothermal,9.72,462.9,16.6,16270.0,1.64,0.6703,0.7609,0.646,10.03,119.4
ethanol-to-jet,Pd,CeO2,SrO,Impregnation,17.01,317.7,66.5,24797.0,2.05,0.6574,0.5579,0.8143,18.31,143.2
methanol-synthesis,Sn,MgO,K2O,Ion-exchange,17.12,574.5,53.2,16113.0,1.27,0.448,0.5642,0.7399,8.23,38.2
syngas-to-ethanol,Pt,SiO2,La2O3,Ion-exchange,7.59,196.0,50.2,22102.0,0.95,0.5451,0.555,0.8862,26.05,64.5
hydrogenation,Sn,SAPO-34,CaO,Impregnation,11.19,467.8,8.7,16340.0,2.0,0.7936,0.8411,0.6701,2.85,126.0
biomass-to-hmf,In,MgO,None,Deposition-precipitation,4.71,858.1,46.5,34791.0,1.77,0.4083,0.4601,0.7053,2.44,45.9
water-gas-shift,Ti,MgO,Rb2O,Co-precipitation,10.2,348.2,34.6,17320.0,1.09,0.7335,0.6655,0.558,43.0,47.1
hydrogenation,Ru,MOF-5,Na2O,Deposition-precipitation,18.32,755.2,81.7,12577.0,1.01,0.2676,0.2513,0.3395,10.24,120.4
methanol-synthesis,Fe,Graphene,Li2O,Electrodeposition,18.98,707.9,45.4,46284.0,2.48,0.4877,0.4523,0.3956,7.49,123.7
dry-reforming,Pd,C,K2O,Electrodeposition,11.33,342.3,28.2,3752.0,2.28,0.6667,0.6285,0.7484,6.64,97.8
ethanol-to-jet,Sn,CNT,Cs2O,Co-precipitation,16.29,881.9,9.9,30110.0,1.85,0.3117,0.346,0.644,1.56,173.1
ethanol-to-jet,Mo,MOF-5,SrO,Hydrothermal,8.38,480.5,15.9,4032.0,0.86,0.6136,0.717,0.6651,9.85,81.5
methanol-synthesis,Cr,MCM-41,La2O3,Impregnation,6.57,450.2,44.5,26615.0,1.06,0.6109,0.6078,0.6364,2.98,72.4
water-gas-shift,Au,MCM-41,SrO,Impregnation,19.84,617.8,7.5,5631.0,2.87,0.4924,0.4032,0.577,5.58,138.6
dehydrogenation,Pd,TiO2,K2O,Sputtering,16.76,833.4,31.7,33147.0,2.82,0.5079,0.4528,0.516,26.26,136.3
methanol-synthesis,Pt,BEA,CaO,Deposition-precipitation,20.42,636.1,83.1,37200.0,2.9,0.5528,0.5912,0.5256,19.06,126.9
water-gas-shift,Cr,TiO2,None,Deposition-precipitation,8.07,860.9,34.8,38542.0,1.17,0.3682,0.4004,0.567,8.86,53.2
biomass-to-hmf,In,BEA,Rb2O,ALD,1.42,369.4,76.9,7421.0,1.82,0.4819,0.408,0.4369,16.58,154.7
dehydrogenation,Fe,SBA-15,Li2O,Impregnation,10.57,641.1,24.5,22766.0,1.5,0.6246,0.6836,0.9695,1.77,97.3
hydrogenation,Ag,Al2O3,Li2O,Hydrothermal,9.51,857.7,98.5,23622.0,1.49,0.5072,0.5502,0.3552,3.52,109.1
co2-reduction,Ru,Graphene,SrO,Sol-gel,21.89,141.7,48.6,19189.0,3.77,0.4946,0.4691,0.6224,1.58,107.4
methanol-synthesis,Pt,SAPO-34,La2O3,Ion-exchange,11.51,510.7,83.3,5494.0,3.69,0.5251,0.5837,0.8093,14.92,162.7
ethanol-to-jet,Zn,HZSM-5,CaO,ALD,9.66,408.9,9.1,12002.0,1.62,0.6695,0.6482,0.7093,14.79,137.2
dry-reforming,Pd,CeO2,None,Ion-exchange,22.98,478.0,83.3,38183.0,2.14,0.5283,0.529,0.9398,1.8,165.9
ethanol-to-jet,Rh,SiO2,La2O3,ALD,23.54,587.1,42.9,39032.0,1.33,0.4875,0.3769,0.8111,5.37,65.8
dehydrogenation,Mo,SAPO-34,K2O,Electrodeposition,15.12,113.1,52.0,12855.0,1.0,0.6546,0.6418,0.7153,4.43,122.2
syngas-to-ethanol,Ti,MgO,La2O3,Co-precipitation,13.33,388.5,95.4,27660.0,3.25,0.631,0.613,0.6289,3.0,33.1
ammonia-synthesis,Cu,MCM-41,CaO,Deposition-precipitation,6.71,113.0,79.1,17895.0,3.07,0.5382,0.4588,0.7822,54.34,145.7
dry-reforming,Pd,HZSM-5,Na2O,ALD,8.79,614.2,83.2,34549.0,3.93,0.5757,0.5357,0.5308,2.7,57.3
co2-reduction,Co,SBA-15,Li2O,Impregnation,7.69,135.0,20.7,3053.0,3.77,0.6353,0.6594,0.7249,12.92,178.4
hydrogenation,V,Al2O3,None,Hydrothermal,7.51,789.7,5.7,33131.0,1.46,0.2998,0.3485,0.5705,2.93,95.5
water-gas-shift,Mo,MOF-5,CaO,Deposition-precipitation,24.36,497.0,50.3,46291.0,2.32,0.6542,0.7245,0.3711,4.54,139.1
methanol-synthesis,Zn,ZrO2,La2O3,ALD,7.7,182.1,33.5,15486.0,2.06,0.8856,0.9073,0.8266,3.71,55.0
ammonia-synthesis,Sn,C,None,Deposition-precipitation,15.56,448.0,64.3,39782.0,0.7,0.4803,0.6163,0.5067,0.64,90.9
hydrogenation,Fe,HZSM-5,La2O3,Sputtering,17.11,450.5,13.5,12564.0,2.76,0.5684,0.5295,0.8208,4.18,172.4
ethanol-to-jet,Ce,CeO2,Li2O,Deposition-precipitation,9.61,710.5,57.8,26944.0,1.89,0.4054,0.4678,0.7426,9.18,67.4
methanol-synthesis,Ni,SBA-15,La2O3,Electrodeposition,13.18,830.8,12.7,38973.0,2.96,0.2917,0.2348,0.6692,12.95,121.8
ammonia-synthesis,Ru,SAPO-34,La2O3,Co-precipitation,11.58,818.9,45.1,5302.0,2.89,0.4278,0.4789,0.6107,2.14,77.9
dry-reforming,Co,BEA,Rb2O,Ion-exchange,22.34,781.1,71.5,46439.0,2.73,0.3952,0.4238,0.7401,1.49,106.3
methanol-synthesis,Ru,Graphene,La2O3,Hydrothermal,19.86,121.0,55.8,19077.0,3.31,0.5553,0.5401,0.7706,2.48,121.8
methanol-synthesis,Co,Al2O3,CaO,Electrodeposition,13.38,715.3,82.5,4614.0,3.9,0.4637,0.4667,0.6848,5.15,97.5
hydrogenation,Sn,CeO2,Rb2O,Sputtering,4.96,873.0,43.8,45625.0,0.69,0.5145,0.4457,0.7637,21.82,53.0
co2-reduction,Fe,TiO2,BaO,Deposition-precipitation,23.71,515.1,29.1,4864.0,1.19,0.4177,0.4346,0.4755,14.38,71.2
biomass-to-hmf,Ce,BEA,K2O,ALD,16.2,573.4,58.5,9389.0,2.69,0.5189,0.5183,0.7019,29.82,80.6
dehydrogenation,Cu,CNT,None,Co-precipitation,1.61,613.2,58.1,32905.0,3.18,0.5498,0.4476,0.6283,1.71,125.8
ammonia-synthesis,W,Al2O3,Cs2O,Electrodeposition,6.5,745.9,41.2,23224.0,2.91,0.4863,0.443,0.7183,4.96,92.3
ammonia-synthesis,Ru,TiO2,SrO,Sol-gel,8.16,674.7,73.7,43178.0,3.91,0.6103,0.5261,0.6759,34.23,85.6
hydrogenation,In,TiO2,BaO,Electrodeposition,3.5,459.7,14.9,3480.0,3.81,0.7562,0.8193,0.7485,7.06,92.7
co2-reduction,Au,MOF-5,SrO,Deposition-precipitation,5.15,227.5,99.6,23874.0,3.58,0.6398,0.6051,0.7086,22.99,43.5
water-gas-shift,Cr,C,BaO,Hydrothermal,14.79,138.9,28.9,30278.0,3.45,0.5613,0.5764,0.7995,24.16,72.9
ethanol-to-jet,In,MgO,La2O3,Ion-exchange,18.32,711.1,37.2,20628.0,2.5,0.3738,0.3004,0.5467,2.43,113.0
methanol-synthesis,Mn,BEA,Li2O,ALD,7.35,891.3,68.4,6822.0,3.91,0.4626,0.4864,0.7168,11.85,149.2
dry-reforming,W,TiO2,La2O3,Hydrothermal,15.26,421.1,5.0,2907.0,3.0,0.6448,0.7787,0.6071,3.23,107.9
co2-reduction,Ce,MOF-5,Rb2O,Sol-gel,8.54,590.5,17.1,49540.0,3.09,0.5153,0.4911,0.8003,6.6,80.5
hydrogenation,W,C,SrO,Ion-exchange,12.13,113.3,33.8,6371.0,1.96,0.6293,0.5908,0.7336,11.09,164.8
ethanol-to-jet,Ce,C,Cs2O,Sputtering,14.65,677.1,58.8,9355.0,2.7,0.5225,0.5332,0.6056,26.87,156.2
co2-reduction,Ag,HZSM-5,SrO,Co-precipitation,5.17,452.8,42.5,21235.0,1.21,0.99,0.99,0.7577,30.4,121.7
ammonia-synthesis,Cu,SBA-15,La2O3,ALD,5.58,360.0,66.6,26748.0,1.6,0.6834,0.6264,0.5632,15.94,166.8
dry-reforming,W,TiO2,Cs2O,Sputtering,12.36,865.9,28.6,15626.0,3.8,0.5356,0.5926,0.4812,56.09,145.7
syngas-to-ethanol,V,TiO2,Li2O,Deposition-precipitation,14.23,847.6,72.4,15102.0,2.51,0.4325,0.5397,0.6629,5.51,164.4
water-gas-shift,Sn,Graphene,La2O3,Ion-exchange,1.53,864.3,8.8,46276.0,2.8,0.3805,0.3917,0.4785,7.33,62.1
hydrogenation,Rh,MOF-5,Rb2O,Ion-exchange,3.86,592.5,59.1,12880.0,2.84,0.7407,0.7384,0.7754,7.89,125.7
ethanol-to-jet,In,MgO,Na2O,Electrodeposition,2.96,716.6,1.5,27967.0,3.75,0.3699,0.4263,0.5688,1.4,170.3
ammonia-synthesis,V,MCM-41,BaO,Ion-exchange,8.37,616.7,90.9,5384.0,2.51,0.4998,0.5048,0.4417,6.78,138.5
ethanol-to-jet,Fe,MgO,La2O3,Impregnation,24.93,417.6,50.0,46894.0,3.87,0.6061,0.7114,0.9219,0.2,161.5
ethanol-to-jet,Pt,ZrO2,SrO,Co-precipitation,23.25,368.0,46.0,32424.0,2.34,0.6876,0.7272,0.812,55.8,50.1
hydrogenation,Mo,Al2O3,BaO,Co-precipitation,8.6,684.9,65.2,36211.0,0.55,0.5739,0.5016,0.9588,1.0,74.3
syngas-to-ethanol,Fe,ZrO2,CaO,Flame-spray,13.12,169.4,67.3,10054.0,0.99,0.5936,0.5309,0.8309,33.88,67.2
biomass-to-hmf,Mn,SiO2,Li2O,Ion-exchange,23.87,341.6,72.6,1560.0,2.79,0.5856,0.5976,0.6961,12.18,39.3
methanol-synthesis,Mo,Al2O3,La2O3,Flame-spray,17.31,838.5,88.9,38722.0,2.92,0.3574,0.4278,0.3309,5.19,171.1
dry-reforming,Ce,SiO2,BaO,Sol-gel,12.22,464.0,98.9,19308.0,2.96,0.7448,0.7541,0.6589,36.85,143.6
syngas-to-ethanol,Ag,MCM-41,SrO,Co-precipitation,13.37,522.5,36.8,45945.0,0.89,0.5677,0.6177,0.7633,4.48,165.4
syngas-to-ethanol,Ti,BEA,La2O3,Sol-gel,8.54,516.3,12.5,11065.0,2.54,0.5234,0.5293,0.8123,0.36,106.6
ethanol-to-jet,Mo,CeO2,Rb2O,Flame-spray,11.69,146.2,46.8,40539.0,3.03,0.6663,0.6173,0.6626,18.56,152.5
syngas-to-ethanol,Ti,SAPO-34,None,Flame-spray,8.94,151.0,99.4,46795.0,0.74,0.5185,0.6055,0.5533,1.36,34.8
water-gas-shift,Fe,Graphene,La2O3,Flame-spray,9.67,813.1,45.4,45939.0,1.82,0.4828,0.4546,0.4872,23.37,174.6
hydrogenation,Pd,MCM-41,Na2O,Co-precipitation,4.87,529.8,53.4,36665.0,1.28,0.8183,0.7428,0.5703,7.1,33.4
biomass-to-hmf,Mo,MCM-41,Rb2O,Flame-spray,13.53,758.7,25.5,17962.0,1.46,0.477,0.4728,0.8118,26.61,138.8
methanol-synthesis,Cu,Graphene,CaO,Sputtering,19.27,807.0,2.5,11098.0,0.85,0.3586,0.3504,0.5155,8.0,119.7
ethanol-to-jet,Ag,SBA-15,None,Flame-spray,11.25,531.8,75.7,39027.0,0.99,0.4655,0.5647,0.5304,6.13,65.1
dehydrogenation,Au,ZrO2,SrO,Deposition-precipitation,6.3,801.0,98.6,26541.0,1.95,0.3151,0.3617,0.6753,11.36,113.5
dehydrogenation,Fe,MCM-41,CaO,ALD,12.64,877.8,94.2,33896.0,3.25,0.4342,0.4495,0.5963,17.46,92.4
