Reaction,Metal,Support,Temperature,Pressure,Activity,Selectivity
biomass-to-hmf,Ni,TiO2,467.5937102188161,12.074904806768611,0.6515499761247975,0.6981139820806074
co2-reduction,Pd,SiO2,187.65135822122193,87.92295032120002,0.4580391238388681,0.44257850504630736
ethanol-to-jet,Cu,C,680.4151147230575,97.82046487405609,0.5165631715701782,0.5653404279262961
biomass-to-hmf,Co,CeO2,578.8380347857888,94.7380192907941,0.4760412881077355,0.46675833927454463
methanol-synthesis,Pd,BEA,717.0814767054173,42.890656079887805,0.2446832512996986,0.18487292009566506
methanol-synthesis,Rh,SiO2,613.4168323324292,40.50023769974548,0.54062629111971,0.6084382925482511
co2-reduction,Ag,BEA,443.46599190423433,25.542655752934785,0.9463994939209832,0.99
ethanol-to-jet,Fe,HZSM-5,532.4006669972016,23.781358527061123,0.5180818012523817,0.48582581352212545
methanol-synthesis,Ni,SAPO-34,610.0966152564952,6.828502920756017,0.5180697802754207,0.5949716085987192
ethanol-to-jet,Ni,TiO2,196.05727742762474,24.562458802530525,0.4982086980445024,0.5764408808352027
syngas-to-ethanol,In,BEA,236.00270167126627,93.61590981748643,0.36901274479551277,0.41010787001427396
biomass-to-hmf,Pt,C,307.94820755722094,47.824321351514776,0.6043523534119085,0.5894019858886151
syngas-to-ethanol,In,SAPO-34,213.00502924873516,43.67406705823137,0.5045880388267752,0.40520959309673055
syngas-to-ethanol,Ru,C,711.4938864402421,6.362947535984881,0.2890164056081244,0.30687203418371173
ethanol-to-jet,Ni,MgO,623.3388324867688,80.25865857530817,0.5738947022370758,0.5479811913233935
ethanol-to-jet,In,SiO2,273.63579048652747,45.412741235480055,0.4595753198553406,0.4344874676761138
syngas-to-ethanol,Co,Al2O3,450.7082444606288,87.57410945298741,0.6457701058851036,0.6622076613680878
ethanol-to-jet,Ag,BEA,213.64067333104023,65.56234450585369,0.47351198981164805,0.49917536146731584
biomass-to-hmf,Ni,SAPO-34,752.1385389552829,85.02087770701624,0.304853877467402,0.3532861269940465
methanol-synthesis,Ru,C,462.88297168117566,86.60038900899133,0.5648973453061323,0.5485142379762439
ethanol-to-jet,Co,MgO,151.4009959284272,39.6517540011935,0.4803945923433921,0.4072188449367862
syngas-to-ethanol,Pd,MgO,602.7844773401057,73.32002642413113,0.5148060138532288,0.5278587774622232
biomass-to-hmf,Au,C,250.6179364281417,30.374074723961858,0.500255672832123,0.48852631616336567
ethanol-to-jet,Pt,BEA,189.62242145973528,32.046876167203195,0.42923146289747927,0.4081991967592113
ethanol-to-jet,Pt,C,476.8527488976838,85.41926931278024,0.5828642741736615,0.5427504107125806
methanol-synthesis,Ni,BEA,202.07245240638147,19.396671137091598,0.49193571441669953,0.5121382572574265
biomass-to-hmf,Cu,SiO2,412.45410835688034,94.21801659567984,0.6943092950605265,0.7030381857021185
biomass-to-hmf,In,HZSM-5,552.597981715867,42.503266618251374,0.5128775195361382,0.5091552237478298
biomass-to-hmf,Pt,BEA,355.64039988487264,26.81580386475965,0.5040614392350479,0.502735745462587
co2-reduction,In,Al2O3,407.26080041431544,67.49733207303716,0.9530115104970512,0.99
co2-reduction,Ag,TiO2,753.8619156085842,93.63769445703751,0.6403819517609438,0.6554593188776244
ethanol-to-jet,Ag,SAPO-34,197.61946871476144,22.102276914437,0.4982644115147378,0.43983050963376125
co2-reduction,Co,TiO2,722.5617128961857,88.04775400596974,0.35714114072575104,0.39473779236008977
co2-reduction,Pd,CeO2,434.8199724550114,54.778578263897096,0.6395515973521523,0.5940822246124153
co2-reduction,Pt,BEA,155.08501964890266,81.89330937643071,0.570139715546805,0.5000471624071909
co2-reduction,Au,SAPO-34,760.3045025526176,14.294820324943403,0.3293428546900135,0.4388656359805124
ethanol-to-jet,Cu,BEA,251.0411413537438,28.893870874331533,0.45047318374346557,0.422158297263327
methanol-synthesis,Sn,TiO2,282.3382530128444,63.789557929622895,0.504982568254382,0.4798087855485721
co2-reduction,Rh,C,313.2288138454312,90.90774557563861,0.5224668284466933,0.5258949771869947
ethanol-to-jet,Cu,MgO,689.0762580919426,5.364589418105952,0.44688481431369476,0.4705644358454538
co2-reduction,Co,Al2O3,255.028284578026,44.74171567422421,0.45402878828830984,0.5315255085391868
syngas-to-ethanol,Rh,HZSM-5,222.71802238306776,94.56004296561727,0.46083733538318816,0.44473425957290436
methanol-synthesis,Rh,HZSM-5,692.4867629259109,58.66844708248961,0.5406758608684835,0.47913264504678577
methanol-synthesis,Ru,CeO2,177.1887578097576,37.100500017398346,0.5113729967302064,0.5767301344443279
ethanol-to-jet,Fe,SiO2,593.3433474018748,67.02640765291876,0.4196258382719386,0.4288575311985538
co2-reduction,Rh,MgO,782.9940647142379,75.19828350321039,0.3129941397124212,0.3520852833012867
methanol-synthesis,Co,CeO2,722.9205330311609,3.453849827920684,0.2381524644560959,0.17212963380188206
co2-reduction,Ru,SiO2,323.4237112364068,78.95007640441165,0.6260970782808448,0.6409463119425042
ethanol-to-jet,Ru,HZSM-5,708.085613369558,23.02093803702078,0.31252464251729384,0.3298470529921426
syngas-to-ethanol,Fe,Al2O3,683.3486476315153,87.26098055043781,0.4659987639210755,0.47761144877912565
methanol-synthesis,Ni,SiO2,409.0028860671093,28.581703041277386,0.614653623664934,0.5789360527636156
ethanol-to-jet,Pd,TiO2,566.9631300949579,40.568160051646025,0.5932887255572379,0.6169803716028273
biomass-to-hmf,Fe,HZSM-5,224.97213870342793,97.06966049120057,0.44043482513986754,0.473262505571559
methanol-synthesis,Pt,Al2O3,174.86717827962076,60.06055424378672,0.4512659164886339,0.4906201466757565
co2-reduction,Sn,TiO2,433.6560245158952,98.4393490823424,0.6579297789503702,0.6168956630327846
ethanol-to-jet,Ru,SiO2,315.5696289900783,71.16974309958289,0.6481688064622161,0.668807852809041
ethanol-to-jet,Rh,BEA,596.4571454944423,94.08604891935778,0.5411030079997246,0.6359426571324219
methanol-synthesis,Fe,MgO,195.48297723210163,66.75953080621596,0.4877305941998565,0.450043785981982
co2-reduction,Pt,TiO2,581.2018595726038,13.337906250772406,0.45552427851872385,0.41473376427045194
co2-reduction,Rh,Al2O3,583.4803876687242,33.292107580882586,0.49614491452929477,0.513202513270127
co2-reduction,Rh,CeO2,274.69606044359585,66.82801398706438,0.513834539966501,0.5551937024183021
syngas-to-ethanol,Au,CeO2,550.0846953683973,30.794037581990967,0.5006500945938953,0.5733267984517612
biomass-to-hmf,Ni,Al2O3,336.4939159648027,43.55892684899363,0.5867671583381022,0.7227756166675832
biomass-to-hmf,Pt,TiO2,452.24232366055924,44.77382013117594,0.6312833673882503,0.5884254895674361
methanol-synthesis,Rh,C,665.9280094189013,96.02336836462058,0.4464553750969444,0.4705789958591037
methanol-synthesis,Au,SAPO-34,334.4611632454678,66.72152979419488,0.5888268607337074,0.624526885438312
biomass-to-hmf,Fe,SAPO-34,681.9752519488318,75.36267561653248,0.5236618812286773,0.5200204355958337
co2-reduction,In,SiO2,245.78007545975225,5.575158091183084,0.8076603140965797,0.7319179528622864
syngas-to-ethanol,Pt,SAPO-34,446.0205094470579,88.72755399604718,0.5776742523966489,0.6204941921128225
biomass-to-hmf,In,MgO,471.345159856784,25.154459518265448,0.6107046872065102,0.5484177482709107
ethanol-to-jet,Cu,MgO,292.24673892800763,80.60687576114115,0.5086590462925591,0.527924915279001
biomass-to-hmf,Ag,HZSM-5,512.313766121707,91.82953143108858,0.45580712818994334,0.46349338348721975
ethanol-to-jet,Ag,CeO2,670.9207911194719,67.09019552604896,0.5029104359223,0.44576192103076884
biomass-to-hmf,Pt,TiO2,767.5257454880514,89.25116665523326,0.31788936801741413,0.34592859433582585
biomass-to-hmf,Sn,BEA,427.3814919581261,90.77861831515523,0.6541525621587638,0.7068426647605089
syngas-to-ethanol,Co,C,442.5453422104903,75.42590186355064,0.5311165316021454,0.4842252796063893
co2-reduction,Rh,C,557.3864840381578,28.18514724483629,0.5257517633604329,0.5514410609060434
ethanol-to-jet,Sn,Al2O3,302.420825709513,34.24890612551008,0.6257523843153023,0.8183889588480384
biomass-to-hmf,Cu,CeO2,248.0399277085063,38.92049395070248,0.5285445255346584,0.5853228075436883
methanol-synthesis,Sn,SiO2,191.74875296402075,41.352337596992086,0.5477000881746601,0.58026965073995
biomass-to-hmf,Ag,MgO,190.47271187933046,83.45622576470828,0.4842365377679827,0.5221849987926461
syngas-to-ethanol,Pt,HZSM-5,706.8758209975573,76.79386303568887,0.26135873927312137,0.2495178089361209
syngas-to-ethanol,Ag,HZSM-5,762.782077332163,30.562652584865962,0.2757318226085448,0.2798255295778609
syngas-to-ethanol,Ru,BEA,635.8851848357331,55.06709866365007,0.6157329283336754,0.522369668704088
biomass-to-hmf,In,C,292.6240625039335,44.147761628617026,0.5343130095187256,0.45367721595924304
ethanol-to-jet,Ru,TiO2,584.7678534048962,80.0160901175987,0.47640340671052833,0.5308509365588966
methanol-synthesis,Ag,CeO2,787.4692853873,53.878239323717935,0.30321400095477313,0.24932676205830784
syngas-to-ethanol,Pt,HZSM-5,204.56585040530013,43.43266419644839,0.4642348145370016,0.4982147019837354
syngas-to-ethanol,Co,HZSM-5,319.1016040475481,33.40791402723169,0.5634816684141432,0.574304597893242
syngas-to-ethanol,Fe,TiO2,644.7993101311176,38.53349534084949,0.5022785919951906,0.4696985746148998
syngas-to-ethanol,Pd,SAPO-34,455.6994435384805,75.15340184720222,0.7071972044662662,0.7388931555821667
ethanol-to-jet,Fe,SiO2,572.5936606124187,78.3420719114786,0.39874287066711966,0.40806558640559104
ethanol-to-jet,Ni,SiO2,279.5844435356464,3.0176217147129023,0.4669106767615806,0.5095323435013918
methanol-synthesis,In,CeO2,457.81468961498325,12.32455516482135,0.560373963078365,0.55463714100502
methanol-synthesis,Ag,Al2O3,648.4837639315565,17.611125193412423,0.5252493639490229,0.568537123657529
biomass-to-hmf,Sn,SAPO-34,655.5647260140312,17.212815206552715,0.4399851796472112,0.42326011785516376
co2-reduction,Cu,HZSM-5,753.776659464629,58.003876112829,0.6262527344419521,0.5935862728132665
syngas-to-ethanol,Ru,SiO2,199.39771059798898,69.37082717736506,0.5882727120140548,0.6085217975621027
methanol-synthesis,Cu,Al2O3,702.6906054077176,60.44074986686757,0.23695580228324772,0.28284889963598653
ethanol-to-jet,Pt,HZSM-5,375.68244745049185,43.4094233102397,0.7061078098506317,0.7577310728781891
co2-reduction,Cu,BEA,570.9031151369234,2.252562866419455,0.7740315017022993,0.7498197980589867
syngas-to-ethanol,Ag,SAPO-34,431.7902108618015,36.85661581101213,0.6633455574593311,0.627962084178392
syngas-to-ethanol,Sn,CeO2,433.0666442549901,73.6457350973258,0.6221909714073114,0.6609226740787782
co2-reduction,Pt,BEA,653.5169427415235,47.02250339181627,0.4536534764210959,0.45067720861800586
biomass-to-hmf,Pd,TiO2,703.6135540125657,83.24237087016974,0.13793663299654635,0.1
ethanol-to-jet,Pd,C,308.5112354741214,47.00613819371994,0.587371592430342,0.5249824333320995
biomass-to-hmf,Au,MgO,368.65780292939394,49.936343857976276,0.6816205651965818,0.6101134962985502
co2-reduction,Co,C,287.87790261683034,79.98540332598155,0.4779977756651508,0.48453480452945535
co2-reduction,Pd,Al2O3,511.2641681477295,52.146097919778484,0.5720636644533058,0.5002705568943339
methanol-synthesis,Cu,SiO2,618.0485316677264,49.369206838029946,0.5581581876077479,0.5586698406587273
methanol-synthesis,Sn,C,569.836884831619,49.59131217278003,0.45092456744760245,0.474029741160766
ethanol-to-jet,Cu,Al2O3,294.0376603071446,69.48692837422499,0.5099529847786735,0.47994214092073373
co2-reduction,Au,TiO2,457.6193176936911,53.56127118343101,0.6034901042495009,0.5842244244064129
syngas-to-ethanol,Sn,BEA,365.0143431773546,70.58263927639112,0.6056758672625624,0.6387824009886147
co2-reduction,Pd,Al2O3,299.84972684403004,72.4071488012809,0.5793008408072676,0.5174100658659252
co2-reduction,Cu,BEA,768.0704142557325,69.32619185991462,0.7566516687328133,0.6590472787566882
methanol-synthesis,In,C,329.724757529648,59.3691036901183,0.5924107452482208,0.6218266055724496
biomass-to-hmf,Pt,Al2O3,787.3319098006335,83.43020796937972,0.31404959338675165,0.28291461739572193
co2-reduction,In,TiO2,266.6370033955122,2.4006883583503194,0.8395938874821363,0.8149438407491946
biomass-to-hmf,Co,Al2O3,179.58520563909192,6.39807600365979,0.4705317621527894,0.5130118670038406
co2-reduction,Sn,CeO2,564.6152758188529,75.52642540333413,0.5178507742982523,0.4832052945352196
ethanol-to-jet,Ni,Al2O3,455.10801420483165,44.606411015465014,0.6449799937716625,0.660344969815493
methanol-synthesis,Ni,Al2O3,761.6913378992671,48.29518953930308,0.340643105941948,0.3721245480381286
ethanol-to-jet,Ru,C,198.15341066616585,63.31512498824783,0.4585502494538964,0.4305411974440479
ethanol-to-jet,Co,CeO2,677.2423495787809,94.96343859344509,0.5373646802561631,0.5678831935278363
ethanol-to-jet,In,SAPO-34,512.7474725014586,42.20122811962251,0.4989549203017926,0.5048212894672317
biomass-to-hmf,Pt,SiO2,654.2008008038413,38.657424588508384,0.5638832447894212,0.5343046753476297
syngas-to-ethanol,Pd,MgO,348.49715880758424,62.48170478614271,0.6273548690585019,0.6172452364368072
biomass-to-hmf,Sn,SAPO-34,765.9336302114957,21.57100267653158,0.289115939838639,0.3440547824379985
methanol-synthesis,Pd,SAPO-34,252.08711069757015,18.207541284317013,0.5412708174494015,0.5819462992494334
ethanol-to-jet,Co,HZSM-5,415.5364222290173,69.24774244269213,0.9652739403577165,0.9663241324393544
syngas-to-ethanol,Pd,HZSM-5,300.4595524614168,70.9886271580243,0.6340976485647482,0.6185843107350754
syngas-to-ethanol,Cu,SiO2,750.5421789136567,78.9949746380264,0.3162083176244221,0.30970116490603783
biomass-to-hmf,Au,SiO2,426.34032796773755,54.911675492347285,0.6048497982496359,0.6346076495214816
methanol-synthesis,Pd,CeO2,196.4163939562792,17.426356132851744,0.45908896583832637,0.5637083296225994
co2-reduction,Pt,Al2O3,435.4497416379293,47.401099057340026,0.5496991309250149,0.48898970028562827
co2-reduction,Sn,MgO,762.7395564836265,50.546745534674635,0.3579055436750034,0.39748867837315016
syngas-to-ethanol,Ag,SAPO-34,538.7238303267173,89.0528660399529,0.5312059908526078,0.5626232663158218
co2-reduction,Pt,Al2O3,166.81218005241803,23.66351715646087,0.4993876613576543,0.4545249427833627
biomass-to-hmf,Pt,HZSM-5,799.7220709703433,67.55587684602068,0.3037902279096863,0.2699321423340807
co2-reduction,Pt,HZSM-5,646.0208527116085,18.34388206585929,0.5487559866708875,0.5414031175957806
biomass-to-hmf,Au,C,745.4473121523989,18.967425575089468,0.2587251401603744,0.24265584807772472
biomass-to-hmf,Ru,C,779.8859034427073,47.531029101074814,0.3206465727137812,0.2924603450735825
syngas-to-ethanol,Fe,TiO2,585.5867811887706,85.9155763456349,0.45888898022167846,0.47107334079627405
co2-reduction,Ru,C,337.3415669849462,94.57416041675785,0.6122483285554361,0.5869011697868796
biomass-to-hmf,Ni,C,207.23886530426256,25.987486243278564,0.47644808471908384,0.4880505815869657
ethanol-to-jet,Ru,BEA,686.2026821246557,1.1139556773631099,0.4275957829251338,0.35722259420630603
biomass-to-hmf,Ag,MgO,185.2326554948736,52.32549985361215,0.4640777889373782,0.45340543135178585
biomass-to-hmf,Ag,C,643.993848439661,21.15226559667711,0.5155453782799002,0.5893131891273778
biomass-to-hmf,Co,Al2O3,434.77546179704586,70.12675288309505,0.6428829811601009,0.6348860546619295
ethanol-to-jet,Ni,SiO2,611.3588363151684,31.764263700940173,0.49904918960486555,0.4489227213729751
ethanol-to-jet,Rh,MgO,210.58598083298966,99.23345680012675,0.4990743432003805,0.4846414112543736
ethanol-to-jet,Ag,SAPO-34,571.0112977094432,16.243141318404476,0.5161359280169044,0.4747743808392883
co2-reduction,Rh,Al2O3,420.06872290797946,48.76745811882777,0.6259673257120586,0.7026042713621875
syngas-to-ethanol,In,C,508.3222999723053,38.97501531146784,0.4945619925771571,0.5146475786821042
biomass-to-hmf,Rh,CeO2,711.6175073785823,28.348492879382057,0.33450719958555564,0.31444617599126384
syngas-to-ethanol,Fe,BEA,323.66223099348815,1.2539606764991438,0.6112046240905208,0.6118342441296105
co2-reduction,Pt,C,712.4193865551578,45.20819191127625,0.30488380492744155,0.26623331573466824
syngas-to-ethanol,Fe,TiO2,508.74632109602715,54.79957623290863,0.5012255087129471,0.5261254232752196
syngas-to-ethanol,Fe,SiO2,787.5035103661863,24.641748872458685,0.37255718038975205,0.4205207216940124
syngas-to-ethanol,In,MgO,178.37074441324626,74.7258100049544,0.6076591228755779,0.5692917447311754
syngas-to-ethanol,Ru,CeO2,471.9636222506753,4.664941523212042,0.6436160318360339,0.6527831321229515
biomass-to-hmf,Pt,TiO2,715.30520368544,87.54484703137652,0.4094901466608836,0.36907523239312606
syngas-to-ethanol,Cu,BEA,741.7870905027036,2.519412193610803,0.2580139078909612,0.22804427561876006
methanol-synthesis,Ru,CeO2,198.63836135841075,78.37100383602946,0.39380521378450967,0.3675174627004716
co2-reduction,Fe,MgO,572.3938241765272,85.32476394271845,0.46204336692231507,0.46956305624612543
biomass-to-hmf,Ru,TiO2,557.4194663551921,88.856429608023,0.517087798788858,0.6108963407496524
syngas-to-ethanol,Rh,HZSM-5,551.34865004177,24.242254067100134,0.5475211919093025,0.5186760091261823
co2-reduction,In,SAPO-34,432.0814567500317,10.745869511936599,0.9050792664325821,0.9296752250079073
ethanol-to-jet,Ag,CeO2,601.1007558156025,90.43898214299811,0.4339883396489679,0.5255612779416856
ethanol-to-jet,Fe,HZSM-5,340.68905437738573,38.10926788775617,0.6589720060360643,0.635513223430829
methanol-synthesis,In,BEA,417.833636834124,68.49823676392009,0.5143432735454561,0.5820368922537267
methanol-synthesis,Co,CeO2,201.32942792899652,87.21312026584063,0.4942730077373691,0.5561638233360422
biomass-to-hmf,Au,SiO2,473.4837140391682,58.73255593455325,0.5202786170602816,0.4903098659125929
methanol-synthesis,Ag,Al2O3,448.72082446487514,67.01723100938159,0.6002621849859091,0.6026112146741462
syngas-to-ethanol,Pd,BEA,252.6841543466615,44.73124857677763,0.4774967264260378,0.5086392230434127
co2-reduction,Pt,Al2O3,565.3101565340079,43.00658490762887,0.4466189785308703,0.4395000042798056
co2-reduction,Ag,Al2O3,279.49104942078003,39.0846316477672,0.856014781585595,0.8817367232885324
syngas-to-ethanol,Cu,SiO2,397.88679347745887,36.536956600147334,0.6355807439044445,0.5793486393125511
co2-reduction,Sn,Al2O3,164.26073860871725,83.17371858779156,0.4232942914632189,0.48717813255814435
syngas-to-ethanol,Pd,HZSM-5,517.8538610212044,68.89414978066719,0.5166157005989795,0.47919137377115184
ethanol-to-jet,Pt,C,691.3452847875724,90.39055692652776,0.5775575987761261,0.5833413304907691
methanol-synthesis,Pt,TiO2,292.3529503032686,19.82306693843174,0.5589648592031913,0.5623407832736967
co2-reduction,Au,CeO2,558.361267396484,90.43696670322382,0.6030373962440994,0.6908044383662596
ethanol-to-jet,Pd,C,171.68694530966107,37.121262069818506,0.4875517925760463,0.536130340123764
methanol-synthesis,Cu,Al2O3,362.3674317141068,42.134806248458965,0.6322687974792573,0.7007003753558748
methanol-synthesis,Co,BEA,719.6993878593164,37.21989553089726,0.25175382697099474,0.2860563999709167
biomass-to-hmf,Pd,CeO2,317.03055496612046,82.64429144169831,0.6529212243424793,0.5649842500213236
syngas-to-ethanol,Pd,TiO2,672.7511500929319,47.36480749641684,0.44083707436671127,0.33887546547870623
ethanol-to-jet,Co,SiO2,709.0913879842342,72.69745449547631,0.2865296582777721,0.3224067710675702
syngas-to-ethanol,Rh,TiO2,208.69686911957913,40.062881472542486,0.5751178526048014,0.5788225916257902
co2-reduction,Rh,SAPO-34,445.61091802701856,67.6100098055016,0.6814307772785646,0.6124257043678201
co2-reduction,Pt,MgO,684.5712457974033,94.08889728617586,0.4148308780322423,0.41205349308741135
ethanol-to-jet,Au,SiO2,456.4599641879351,62.33513983740843,0.6192032724469654,0.6175685350422607
biomass-to-hmf,Fe,SiO2,570.974047415637,63.90498831541597,0.39662789499800616,0.3921718930223667
syngas-to-ethanol,Sn,Al2O3,572.0056400849842,12.550917735978391,0.43477652497475733,0.46826015241625923
ethanol-to-jet,Ni,Al2O3,797.3527935907691,12.49592759178584,0.3183299123048424,0.27133592298847464
methanol-synthesis,Rh,CeO2,402.6197902475926,37.73014003320139,0.5743066541331653,0.5213459780387177
biomass-to-hmf,Ru,CeO2,725.5189595347266,65.83726785185293,0.2968660451363414,0.34462316116140335
syngas-to-ethanol,Pt,MgO,760.3844927138759,28.694273868493074,0.2507136976832228,0.27591602345911503
co2-reduction,In,C,439.05230885640424,24.375151184868574,0.9234871190813779,0.8838434774682608
co2-reduction,Cu,TiO2,503.9028099633942,97.80641041575262,0.844648482002272,0.7928863658813033
co2-reduction,Ni,MgO,329.32293656003145,96.85248071770229,0.5723175347326409,0.5124236401031985
syngas-to-ethanol,Cu,SiO2,567.1079037015915,60.11744999243496,0.5982362566458195,0.5999994342444059
ethanol-to-jet,Ni,TiO2,308.31978315661536,13.466464645496245,0.5650137246003707,0.5757127201370817
biomass-to-hmf,In,SAPO-34,689.3815941911362,55.866571057651775,0.4943835975154585,0.4833351175387974
biomass-to-hmf,In,SiO2,363.56370973094977,15.607863814202927,0.6307083350021713,0.6685837205045365
biomass-to-hmf,Ni,Al2O3,707.9639821471146,15.324110051730292,0.27347494261947364,0.24468403058723964
methanol-synthesis,Rh,Al2O3,669.0339853124553,11.88270844105412,0.4862474151424178,0.37115135690563855
ethanol-to-jet,Co,HZSM-5,382.85748149074635,79.05472191091796,0.8242404468900724,0.8925841602622986
biomass-to-hmf,Fe,HZSM-5,263.26003091401515,6.187502768256475,0.5822483856750642,0.5697965836972453
syngas-to-ethanol,Rh,SAPO-34,634.6824287720972,48.14835057690178,0.5288278481527883,0.5443903558799651
co2-reduction,Rh,SAPO-34,443.80352294068894,22.933425885410216,0.7539440404227619,0.8099227859944907
biomass-to-hmf,Ni,BEA,346.05971386825763,64.69072773634338,0.5936041204259617,0.5458270983959403
ethanol-to-jet,Ni,C,700.7440530587078,43.201088308719186,0.21967768398712134,0.2298508657804825
ethanol-to-jet,Ag,C,197.7689652481928,8.9982572636684,0.46218246273578484,0.39106977725590114
biomass-to-hmf,Co,SAPO-34,232.02453239828645,62.80743193383958,0.46767135578787367,0.4135939556071539
biomass-to-hmf,Rh,TiO2,397.5878592320385,60.14179366473202,0.6843570817536282,0.7284390696011007
co2-reduction,Ag,BEA,543.5274144979534,10.818667706225156,0.8496013679341691,0.9235985748786704
ethanol-to-jet,Au,BEA,618.5459458274395,22.287283566422193,0.5038684153823809,0.4608042053159677
syngas-to-ethanol,In,MgO,370.3055522428639,45.896391387837284,0.6761562038634829,0.7031017060477158
syngas-to-ethanol,Sn,SAPO-34,353.15642749813645,31.939833543044912,0.5481376922836771,0.5386207583794967
co2-reduction,Fe,CeO2,596.4336730535349,47.95252067332117,0.4562190873307621,0.3870791007825453
ethanol-to-jet,Cu,SAPO-34,430.71973705863115,74.71430794999603,0.646308877376582,0.7417797094000886
co2-reduction,Co,BEA,188.98763568105028,95.70583776084375,0.4300716213090429,0.45822008314357143
biomass-to-hmf,Fe,SAPO-34,417.0256113994028,87.48712985119754,0.5674678715439087,0.5431116023556739
syngas-to-ethanol,Sn,HZSM-5,779.4591064524584,60.440599031243025,0.27038030378805655,0.22718076530406575
co2-reduction,Cu,BEA,288.280223686804,66.01689399582706,0.8524260813972413,0.8108785755766894
methanol-synthesis,Cu,TiO2,699.4927220908743,37.38854401091967,0.513522841288992,0.5110109358165351
co2-reduction,Pt,SiO2,674.6938912490239,84.67036097150745,0.4880525976566795,0.4426744145545996
biomass-to-hmf,Pt,BEA,167.06499044482922,92.97934480849871,0.47116143347158335,0.5089309947628712
co2-reduction,Ni,CeO2,327.6257526632711,76.47854228011879,0.625045859381219,0.5761680971412915
co2-reduction,Fe,HZSM-5,267.9136128381696,15.181897543860881,0.5049666152714612,0.5425359714400507
syngas-to-ethanol,Cu,CeO2,631.6298884269729,97.20922155704389,0.4165297359439314,0.4436977455629281
ethanol-to-jet,Sn,BEA,289.83637202178215,42.563416882685814,0.4668688120527077,0.4953987454823657
co2-reduction,Co,TiO2,352.56429030774063,33.113906315764225,0.5618370421728741,0.47159293713964817
biomass-to-hmf,Pt,SAPO-34,724.1724199369231,16.402410437044345,0.21862287810584186,0.22102712543891095
biomass-to-hmf,Ni,SAPO-34,326.8668483050423,66.53193058801786,0.6129861250860741,0.5677702938308536
syngas-to-ethanol,Pt,C,419.219429623771,22.341327568436938,0.6319296229388687,0.5488536198254207
biomass-to-hmf,Cu,TiO2,429.44386170862873,29.041400537964485,0.5966960100676342,0.5361452000795114
biomass-to-hmf,Ag,BEA,583.6361631786272,5.496318897838325,0.467408194609892,0.46977812817571274
syngas-to-ethanol,Pt,HZSM-5,154.99660583492386,30.84051683982524,0.4569793317358024,0.43775155452431114
